Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	5	8.928571428571429	0.030127949749284684	Q80Z37, Q7TMY8, A0JNH9, Q7T308, Q9U221	48	92	3627	4.106657608695652	0.999871963999664	0.999871963999664	33.456731957636855
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	3	5.357142857142857	0.09801077960372846	Q80Z37, Q5SNZ0, Q60636	48	41	3627	5.528963414634146	0.9999999999999252	0.999999726474773	74.67728097217237
GOTERM_BP_DIRECT	GO:0006513~protein monoubiquitination	2	3.571428571428571	0.1450874751955387	Q80Z37, Q7TMY8	48	12	3627	12.59375	1.0	0.9999997756028249	87.59651156335266
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	9	16.071428571428573	0.1732700862474003	P10073, Q90683, Q642B2, Q68CP9, Q9BX82, Q60636, Q9BWM5, Q2QCI8, Q96K62	48	422	3627	1.6115225118483412	1.0	0.9999991151136104	92.06210889341656
GOTERM_BP_DIRECT	GO:0006284~base-excision repair	2	3.571428571428571	0.188705830764232	Q7TMY8, Q9U221	48	16	3627	9.4453125	1.0	0.9999952373179839	93.82383762015806
GOTERM_BP_DIRECT	GO:0000902~cell morphogenesis	2	3.571428571428571	0.188705830764232	Q6NN85, B1AZI6	48	16	3627	9.4453125	1.0	0.9999952373179839	93.82383762015806
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	8	14.285714285714285	0.19227271132682455	P10073, Q642B2, Q68CP9, Q9BX82, Q60636, Q9BWM5, Q2QCI8, Q96K62	48	367	3627	1.6471389645776566	1.0	0.9999703906484507	94.17575922292244
GOTERM_BP_DIRECT	GO:0016197~endosomal transport	2	3.571428571428571	0.19926546132466147	Q920R0, O95477	48	17	3627	8.88970588235294	1.0	0.999908734436857	94.8124813699199
GOTERM_BP_DIRECT	GO:0070936~protein K48-linked ubiquitination	2	3.571428571428571	0.24017511043057363	F1MBP6, Q80Z37	48	21	3627	7.196428571428571	1.0	0.9999572306637989	97.41945066385249
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	2	3.571428571428571	0.2695078743430571	Q5U249, B1AZI6	48	24	3627	6.296875	1.0	0.9999636982052449	98.47224299690502
GOTERM_BP_DIRECT	GO:0006302~double-strand break repair	2	3.571428571428571	0.2977314370305903	A0JNH9, Q7T308	48	27	3627	5.597222222222222	1.0	0.9999681913988293	99.0959227527639
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	3	5.357142857142857	0.31660207808669116	Q9P2F6, Q920R0, Q58DL5	48	88	3627	2.5759943181818183	1.0	0.9999605263464212	99.3709344169298
GOTERM_BP_DIRECT	GO:0008104~protein localization	2	3.571428571428571	0.3248868643217967	Q920R0, Q8CJ40	48	30	3627	5.0375	1.0	0.9999317748821414	99.46523174901805
GOTERM_BP_DIRECT	GO:0007409~axonogenesis	2	3.571428571428571	0.3424166782824179	Q6NN85, Q920R0	48	32	3627	4.72265625	1.0	0.999921133807457	99.62326789744898
GOTERM_BP_DIRECT	GO:0006281~DNA repair	3	5.357142857142857	0.38782251644493015	Q7TMY8, Q7T308, Q9U221	48	103	3627	2.2008495145631066	1.0	0.9999653544520652	99.8546908863438
GOTERM_BP_DIRECT	GO:0006470~protein dephosphorylation	2	3.571428571428571	0.4081881592157916	Q6NN85, P36993	48	40	3627	3.7781249999999997	1.0	0.9999645196986879	99.90739218065482
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	2	3.571428571428571	0.48140295490082585	Q80Z37, Q7TMY8	48	50	3627	3.0225	1.0	0.9999940045046737	99.98404157822833
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	2	3.571428571428571	0.50158341904237	Q80Z37, Q7T308	48	53	3627	2.851415094339622	1.0	0.9999938635460651	99.99059251423648
GOTERM_BP_DIRECT	GO:0042493~response to drug	2	3.571428571428571	0.5146079209558287	O95477, Q99758	48	55	3627	2.7477272727272726	1.0	0.9999922324066245	99.99338766413783
GOTERM_BP_DIRECT	GO:0016569~covalent chromatin modification	2	3.571428571428571	0.527299125665841	Q68CP9, Q7T308	48	57	3627	2.651315789473684	1.0	0.9999904108561491	99.99535324340084
GOTERM_BP_DIRECT	GO:0001701~in utero embryonic development	2	3.571428571428571	0.5335223584641823	Q920R0, Q60636	48	58	3627	2.6056034482758617	1.0	0.9999859274857015	99.99610493207486
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	3	5.357142857142857	0.5357415791226492	F1MBP6, Q56A24, Q7T308	48	137	3627	1.6546532846715327	1.0	0.9999775867084959	99.99634456299572
GOTERM_BP_DIRECT	GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process	2	3.571428571428571	0.5748948994733837	F1MBP6, Q7TMY8	48	65	3627	2.325	1.0	0.9999887216287162	99.9988689940194
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	3	5.357142857142857	0.6003808794208716	Q90683, A5D7H2, Q9Y613	48	154	3627	1.4719967532467533	1.0	0.9999915798516401	99.99950345451174
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	2	3.571428571428571	0.6471522269261261	Q8CFJ7, Q99758	48	79	3627	1.9129746835443036	1.0	0.9999970022463474	99.99990533915603
GOTERM_BP_DIRECT	GO:0008152~metabolic process	2	3.571428571428571	0.6786248242912161	Q9U221, Q66PG2	48	86	3627	1.7572674418604648	1.0	0.9999983320444469	99.99997271540487
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	2	3.571428571428571	0.7150782499824823	Q80Z37, Q2QCI8	48	95	3627	1.5907894736842103	1.0	0.999999283564678	99.99999450807098
GOTERM_BP_DIRECT	GO:0006810~transport	3	5.357142857142857	0.7662695987581276	B1AZI6, Q8CFJ7, Q99758	48	210	3627	1.0794642857142858	1.0	0.9999998589442078	99.99999960689831
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	2	3.571428571428571	0.782203394079841	A5D7H2, Q60636	48	115	3627	1.3141304347826086	1.0	0.9999998816474387	99.99999984646215
GOTERM_BP_DIRECT	GO:0007165~signal transduction	2	3.571428571428571	0.8488266928034608	Q9P2F6, Q58DL5	48	142	3627	1.0642605633802815	1.0	0.9999999948729299	99.99999999881207
